,BlueCars_taken_sum,BlueCars_returned_sum,Utilib_taken_sum,Utilib_returned_sum,Utilib_14_taken_sum,Utilib_14_returned_sum,Slots_freed_sum,Slots_taken_sum
14511,25,26,5,3,4,4,0,0
14512,31,31,1,0,4,4,0,0
14513,37,36,4,5,2,2,0,0
14514,37,38,2,2,1,3,0,0
14515,49,43,1,3,11,11,0,0
14516,38,47,3,0,3,0,0,0
14517,35,35,1,1,1,1,0,0
14518,41,39,0,2,6,7,0,0
14519,35,28,2,0,5,6,0,0
14520,44,42,3,4,3,3,0,0
14521,34,44,1,0,9,7,0,0
14522,45,46,2,2,1,2,0,0
14523,38,36,5,5,3,2,0,0
14524,34,34,0,0,0,0,0,0
14525,5,3,0,0,0,0,0,0
14526,74,65,1,1,12,12,0,0
14527,45,45,3,3,5,4,0,0
14528,44,48,0,0,3,3,0,0
14529,47,40,0,0,1,1,0,0
14530,34,39,0,0,0,1,0,0
14531,73,75,3,3,12,11,0,0
14532,77,75,1,1,0,0,0,0
14533,45,52,2,2,0,1,0,0
14534,63,58,1,2,4,3,0,0
14535,49,48,1,0,3,4,0,0
14536,41,40,0,1,4,3,0,0
14537,50,49,3,2,2,3,0,0
14538,56,56,2,2,4,4,0,0
14539,120,124,0,0,5,5,0,0
14540,73,75,2,3,9,8,0,0
14541,61,60,1,1,8,8,0,0
14542,62,65,3,2,3,3,0,0
14543,63,59,1,1,2,3,0,0
14544,63,57,4,4,7,6,0,0
14545,121,121,5,6,3,3,0,0
14546,84,94,1,0,4,4,0,0
14547,58,53,0,0,2,2,0,0
14548,44,42,1,1,1,1,0,0
14549,33,32,0,0,2,3,0,0
14550,36,37,0,0,1,0,0,0
14551,44,42,0,0,0,1,0,0
14552,75,77,1,1,3,5,0,0
14553,60,57,2,2,6,5,0,0
14554,37,41,0,1,6,4,0,0
14555,38,39,1,0,0,0,0,0
14556,54,56,1,2,6,6,0,0
14557,64,64,4,3,1,2,0,0
14558,68,65,2,2,3,3,0,0
14559,69,66,4,4,3,2,0,0
14560,77,84,4,4,2,2,0,0
14561,32,31,0,0,1,2,0,0
14562,38,33,0,0,4,3,0,0
14563,35,37,0,0,0,0,0,0
14564,47,51,0,0,1,2,0,0
14565,46,40,3,4,4,3,0,0
14566,70,69,2,1,4,5,0,0
14567,94,97,0,0,3,3,0,0
14568,55,56,0,0,4,3,0,0
14569,48,55,0,0,1,1,0,0
14570,57,53,0,0,1,1,0,0
14571,53,58,1,1,5,5,0,0
14572,61,55,0,0,3,3,0,0
14573,94,87,3,3,2,2,0,0
14574,47,53,5,7,5,5,0,0
14575,52,52,5,3,4,5,0,0
14576,36,39,0,0,5,5,0,0
14577,49,51,1,1,6,5,0,0
14578,67,62,0,0,1,2,0,0
14579,60,58,3,3,5,4,0,0
14580,3,14,0,0,0,0,0,0
14581,54,46,0,1,3,3,0,0
14582,44,49,2,2,7,7,0,0
14583,64,59,2,1,7,6,0,0
14584,122,132,5,5,2,3,0,0
14585,100,84,4,4,3,3,0,0
14586,54,60,3,3,7,6,0,0
14587,58,62,1,1,6,7,0,0
14588,68,71,0,0,4,3,0,0
14589,55,58,2,2,4,5,0,0
14590,70,62,0,0,9,10,0,0
14591,109,103,1,1,6,4,0,0
14592,86,90,3,3,3,4,0,0
14593,43,51,0,0,2,1,0,0
14594,53,53,1,2,1,2,0,0
14595,60,58,1,0,3,2,0,0
14596,63,67,0,1,0,1,0,0
14597,76,68,6,6,4,4,0,0
14598,105,96,6,5,15,14,0,0
14599,86,91,0,0,12,15,0,0
14600,71,82,3,4,5,2,0,0
14601,47,51,2,1,2,2,0,0
14602,53,42,2,2,0,1,0,0
14603,58,58,0,0,4,4,0,0
14604,57,56,0,0,5,5,0,0
14605,111,113,0,1,6,7,0,0
14606,98,101,3,2,4,2,0,0
14607,55,56,0,0,4,4,0,0
14608,71,73,0,0,2,3,0,0
14609,73,72,0,0,4,3,0,0
14610,67,58,4,5,1,2,0,0
14611,42,51,5,5,3,2,0,0
14612,89,83,3,3,2,2,0,0
14613,87,85,1,1,4,5,0,0
14614,70,83,4,3,5,4,0,0
14615,62,59,1,2,3,5,0,0
14616,77,80,3,2,11,10,0,0
14617,68,61,0,0,3,2,0,0
14618,59,57,0,1,4,4,0,0
14619,94,89,6,6,6,6,0,0
14620,102,105,3,2,2,3,0,0
14621,47,49,1,1,3,3,0,0
14622,53,53,1,1,12,13,0,0
14623,88,87,2,2,2,1,0,0
14624,65,58,3,3,2,1,0,0
14625,51,59,1,1,4,5,0,0
14626,100,88,1,1,6,5,0,0
14627,95,106,2,2,15,16,0,0
14628,61,55,2,3,4,5,0,0
14629,66,69,3,3,4,4,0,0
14630,58,61,1,0,6,4,0,0
14631,50,43,0,1,5,4,0,0
14632,61,69,1,1,6,7,0,0
14633,105,97,4,4,5,4,0,0
14634,110,113,2,2,2,3,0,0
14635,44,57,2,2,7,7,0,0
14636,56,50,1,3,5,5,0,0
14637,68,65,4,3,4,3,0,0
14638,65,62,1,1,4,5,0,0
14639,61,65,3,2,8,7,0,0
14640,76,74,2,2,3,6,0,0
14641,64,63,2,2,7,5,0,0
14642,59,67,0,0,5,4,0,0
14643,90,80,0,0,8,9,0,0
14644,55,59,0,1,1,1,0,0
14645,59,59,2,1,6,7,0,0
14646,80,72,0,0,5,3,0,0
14647,101,100,3,3,3,4,0,0
14648,86,82,2,2,10,9,0,0
14649,56,67,1,1,3,6,0,0
14650,78,74,1,1,8,5,0,0
14651,84,79,3,3,3,3,0,0
14652,87,97,6,6,5,6,0,0
14653,61,57,2,2,6,5,0,0
14654,59,56,1,2,2,3,0,0
14655,47,53,1,0,4,4,0,0
14656,65,58,1,1,2,1,0,0
14657,127,124,2,5,11,13,0,0
14658,107,112,7,4,11,9,0,0
14659,56,57,0,1,0,1,0,0
14660,53,50,1,0,5,4,0,0
14661,74,73,0,0,0,0,0,0
14662,72,80,2,3,2,2,0,0
14663,72,61,4,5,0,1,0,0
14664,150,146,4,2,14,13,0,0
14665,149,147,7,7,9,9,0,0
14666,39,47,0,0,3,3,0,0
14667,63,70,1,1,2,2,0,0
14668,62,66,0,0,2,3,0,0
14669,80,71,2,4,4,3,0,0
14670,67,77,6,4,9,10,0,0
14671,113,97,6,6,1,1,0,0
14672,103,109,3,3,4,4,0,0
14673,46,52,0,0,4,3,0,0
14674,63,61,0,0,0,1,0,0
14675,72,68,1,1,2,1,0,0
14676,61,65,2,2,3,4,0,0
14677,71,64,4,4,8,9,0,0
14678,79,80,8,8,16,14,0,0
14679,81,83,3,3,4,5,0,0
14680,50,52,0,0,3,2,0,0
14681,5,6,1,1,0,1,0,0
14682,41,34,0,0,4,4,0,0
14683,28,29,2,3,2,2,0,0
14684,30,26,1,1,3,2,0,0
14685,26,29,2,1,0,0,0,0
14686,34,33,0,1,0,0,0,0
14687,37,31,1,0,3,4,0,0
14688,39,38,1,1,2,1,0,0
14689,14,24,1,2,2,3,0,0
14690,28,28,2,1,3,2,0,0
14691,34,35,0,1,1,1,0,0
14692,27,25,1,2,1,3,0,0
14693,26,27,5,3,2,0,0,0
14694,55,55,5,5,4,5,0,0
14695,44,39,2,3,7,6,0,0
14696,23,29,4,3,3,5,0,0
14697,33,35,0,0,2,2,0,0
14698,29,29,0,0,2,2,0,0
14699,28,24,0,0,3,1,0,0
14700,32,30,0,0,0,1,0,0
14701,40,38,1,1,1,0,0,0
14702,26,31,4,4,0,1,0,0
14703,33,34,1,1,3,3,0,0
14704,29,25,1,1,1,0,0,0
14705,31,35,0,0,0,0,0,0
14706,26,25,0,0,2,3,0,0
14707,48,51,0,0,4,3,0,0
14708,56,50,0,0,3,3,0,0
14709,29,28,0,0,6,7,0,0
14710,26,34,0,0,2,1,0,0
14711,39,40,1,1,0,1,0,0
14712,27,23,0,0,4,3,0,0
14713,37,37,3,3,2,2,0,0
14714,42,42,3,3,4,5,0,0
14715,63,55,6,6,5,5,0,0
14716,50,54,1,3,4,3,0,0
14717,25,29,3,1,1,2,0,0
14718,32,32,0,1,1,0,0,0
14719,16,14,1,0,2,2,0,0
14720,22,25,0,0,0,1,0,0
14721,33,33,1,2,2,1,0,0
14722,56,45,1,0,3,3,0,0
14723,35,37,2,2,3,4,0,0
14724,20,24,3,3,3,3,0,0
14725,28,33,0,1,5,4,0,0
14726,42,38,1,0,5,7,0,0
14727,33,33,2,3,2,1,0,0
14728,46,50,1,0,3,4,0,0
14729,57,57,3,3,5,3,0,0
14730,64,61,0,0,3,3,0,0
14731,25,22,1,1,1,1,0,0
14732,19,22,0,0,2,3,0,0
14733,26,26,2,2,7,6,0,0
14734,26,23,0,0,0,1,0,0
14735,34,36,1,1,2,1,0,0
14736,1,4,0,0,0,0,0,0
14737,24,22,0,0,1,1,0,0
14738,26,23,0,0,1,1,0,0
14739,27,25,0,0,0,0,0,0
14740,40,43,0,0,1,1,0,0
14741,36,31,1,1,2,2,0,0
14742,29,32,0,0,0,0,0,0
14743,27,28,0,0,0,2,0,0
14744,21,22,1,1,3,1,0,0
14745,26,26,0,0,2,3,0,0
14746,31,29,1,1,3,2,0,0
14747,43,40,1,1,3,3,0,0
14748,49,48,1,1,1,2,0,0
14749,14,20,0,0,1,0,0,0
14750,35,36,0,0,0,0,0,0
14751,21,22,1,2,0,0,0,0
14752,25,19,2,2,1,2,0,0
14753,22,24,1,0,2,1,0,0
14754,38,42,1,2,4,4,0,0
14755,46,45,3,2,0,2,0,0
14756,31,22,0,0,3,1,0,0
14757,21,35,0,3,1,1,0,0
14758,25,25,3,0,4,6,0,0
14759,34,29,0,0,8,6,0,0
14760,41,38,1,1,0,0,0,0
14761,57,57,0,0,4,5,0,0
14762,47,44,1,1,1,0,0,0
14763,15,17,1,1,0,0,0,0
14764,18,29,0,0,1,1,0,0
14765,26,20,3,4,1,4,0,0
14766,26,28,1,1,5,4,0,0
14767,27,29,2,2,4,2,0,0
14768,49,46,1,0,1,3,0,0
14769,33,32,0,0,2,2,0,0
14770,43,33,0,0,7,5,0,0
14771,15,24,1,1,0,2,0,0
14772,31,32,0,0,4,2,0,0
14773,26,25,0,0,1,2,0,0
14774,27,24,2,2,1,0,0,0
14775,62,53,1,1,3,3,0,0
14776,47,43,0,0,6,6,0,0
14777,14,22,0,0,1,1,0,0
14778,22,20,0,0,0,0,0,0
14779,31,29,0,0,0,0,0,0
14780,24,32,0,1,1,2,0,0
14781,32,31,2,1,1,1,0,0
14782,49,43,1,2,3,3,0,0
14783,46,42,3,2,6,5,0,0
14784,9,18,1,1,0,0,0,0
14785,29,29,0,1,1,1,0,0
14786,27,29,2,1,2,2,0,0
14787,24,26,0,1,3,3,0,0
14788,26,28,1,0,2,2,0,0
14789,54,49,1,1,1,2,0,0
14790,43,34,1,1,7,6,0,0
14791,16,24,1,1,3,3,0,0
14792,22,25,0,0,1,2,0,0
14793,26,30,0,0,6,6,0,0
14794,23,22,0,0,6,6,0,0
14795,34,31,1,1,1,1,0,0
14796,44,35,1,1,2,2,0,0
14797,29,33,1,1,1,0,0,0
14798,22,20,3,4,0,0,0,0
14799,39,38,1,0,3,5,0,0
14800,23,27,0,0,4,3,0,0
14801,24,22,0,0,5,6,0,0
14802,37,41,0,0,7,5,0,0
14803,54,53,1,1,3,3,0,0
14804,42,37,2,2,3,3,0,0
14805,26,27,0,0,1,1,0,0
14806,68,74,0,0,3,3,0,0
14807,47,41,0,0,3,3,0,0
14808,26,37,1,1,1,1,0,0
14809,36,34,0,0,1,2,0,0
14810,23,24,1,1,2,1,0,0
14811,30,22,0,0,3,4,0,0
14812,32,32,0,1,4,4,0,0
14813,63,61,1,0,5,5,0,0
14814,52,50,1,2,4,3,0,0
14815,36,40,3,2,2,2,0,0
14816,23,27,0,1,2,3,0,0
14817,33,32,1,0,1,5,0,0
14818,29,28,0,0,4,1,0,0
14819,36,37,2,2,5,3,0,0
14820,54,54,0,0,6,6,0,0
14821,61,50,0,0,2,2,0,0
14822,28,36,0,0,8,8,0,0
14823,36,42,0,0,2,3,0,0
14824,31,27,0,0,5,6,0,0
14825,23,28,2,2,7,5,0,0
14826,46,40,0,0,2,2,0,0
14827,55,56,1,1,2,3,0,0
14828,44,42,0,0,2,1,0,0
14829,31,32,0,0,1,1,0,0
14830,37,37,1,1,1,1,0,0
14831,32,30,0,1,6,7,0,0
14832,28,29,1,2,10,11,0,0
14833,44,44,4,2,4,2,0,0
14834,53,49,0,0,1,1,0,0
14835,49,48,0,0,3,3,0,0
14836,22,34,0,0,1,1,0,0
14837,1,2,0,0,1,1,0,0
14838,26,23,0,0,0,1,0,0
14839,18,23,1,1,1,0,0,0
14840,17,17,0,0,0,0,0,0
14841,24,19,0,0,0,1,0,0
14842,34,34,0,0,1,0,0,0
14843,24,20,4,5,2,3,0,0
14844,28,34,1,0,4,3,0,0
14845,14,15,0,0,0,0,0,0
14846,16,15,3,3,2,3,0,0
14847,20,22,0,0,4,5,0,0
14848,26,23,2,2,2,1,0,0
