,Cars,Bluecar_counter,Utilib_counter,Utilib_1.4_counter,City,ID,Kind,Geo_point,Postal_code,Public_name,Rental_status,Slots,Station_type,Subscription_status,year,month,day,hour,minute
4555,3,3,0,0,Paris,paris-chateaulandon-52,STATION,"48.8836044, 2.3643056",75010,Paris/ChÃ¢teau Landon/52,operational,1,station,nonexistent,2018,4,2,12,23
4556,3,3,0,0,Ville-d'Avray,villedavray-versailles-211,STATION,"48.81805, 2.164893",92410,Ville-d'Avray/Versailles/211,operational,2,station,nonexistent,2018,4,5,5,17
4557,0,0,0,0,Paris,paris-invalides-21,STATION,"48.8558178, 2.3152447",75007,Paris/Invalides/21,operational,6,station,nonexistent,2018,4,7,3,11
4558,5,5,0,0,Montreuil,montreuil-pierrebrossolette-61,STATION,"48.86446, 2.479",93100,Montreuil/Pierre Brossolette/61,operational,1,station,nonexistent,2018,4,5,2,36
4559,1,1,0,0,ChÃ¢tillon,chatillon-republique-140,STATION,"48.8064005, 2.2982685",92320,ChÃ¢tillon/RÃ©publique/140,operational,4,station,nonexistent,2018,4,2,17,38
4560,2,2,0,0,VerriÃ¨res-le-Buisson,verriereslebuisson-destiennedorves-204,STATION,"48.7409291, 2.2523628",91370,VerriÃ¨res-le-Buisson/D'Estienne d'Orves/204,operational,4,station,nonexistent,2018,4,5,22,18
4561,6,6,0,0,Issy-les-Moulineaux,issylesmoulineaux-egalite-57,STATION,"48.8167, 2.260423",92130,Issy-les-Moulineaux/ÃgalitÃ©/57,operational,0,station,nonexistent,2018,4,5,19,41
4562,3,3,0,0,Paris,paris-neuvesaintpierre-2,STATION,"48.853574, 2.363958",75004,Paris/Neuve Saint-Pierre/2,operational,1,station,nonexistent,2018,4,3,9,20
4563,3,3,0,0,Paris,paris-juleslefebvre-1,STATION,"48.8804478, 2.3283632",75009,Paris/Jules LefÃ¨bvre/1,operational,2,station,nonexistent,2018,4,2,2,58
4564,0,0,0,0,ChÃ¢tenay-Malabry,chatenaymalabry-divisionleclerc-81,STATION,"48.7622887, 2.2838864",92290,ChÃ¢tenay-Malabry/Division Leclerc/81,broken,0,station,nonexistent,2018,4,6,16,5
4565,4,4,0,0,Neuilly-Plaisance,neuillyplaisance-edgardquinet-46,STATION,"48.8558528, 2.5112935",93360,Neuilly-Plaisance/Edgard Quinet/46,operational,2,station,nonexistent,2018,4,2,7,10
4566,0,0,0,0,Paris,paris-raymondpitet-7,STATION,"48.8901162, 2.2964035",75017,Paris/Raymond Pitet/7,operational,5,station,nonexistent,2018,4,8,11,27
4567,5,5,0,0,Suresnes,suresnes-fontainedutertre-21,STATION,"48.8699508, 2.218031",92150,Suresnes/Fontaine du Tertre/21,operational,0,station,nonexistent,2018,4,2,12,49
4568,7,7,0,0,Nanterre,nanterre-georgesclemenceau-205,STATION,"48.886018, 2.215877",92000,Nanterre/Georges ClÃ©menceau/205,operational,0,station,nonexistent,2018,4,1,20,11
4569,4,4,0,0,Paris,paris-emilereynaud-4,STATION,"48.90176, 2.38589",75019,Paris/Ãmile Reynaud/4,operational,1,station,nonexistent,2018,4,5,21,49
4570,0,0,0,0,Paris,paris-londres-6,STATION,"48.8768536, 2.3302084",75009,Paris/Londres/6,operational,2,station,nonexistent,2018,4,6,22,23
4571,7,7,0,0,VerriÃ¨res-le-Buisson,verriereslebuisson-destiennedorves-204,STATION,"48.7409291, 2.2523628",91370,VerriÃ¨res-le-Buisson/D'Estienne d'Orves/204,operational,0,station,nonexistent,2018,4,8,4,36
4572,3,3,0,0,Versailles,versailles-vauban-5,STATION,"48.79979, 2.153535",78000,Versailles/Vauban/5,operational,3,station,nonexistent,2018,4,5,22,0
4573,2,2,0,0,Paris,paris-croixdespetitschamps-4,STATION,"48.8624631, 2.3393006",75001,Paris/Croix des Petits Champs/4,operational,2,station,nonexistent,2018,4,1,21,27
4574,2,2,0,0,Paris,paris-notredamedesvictoires-21,STATION,"48.8696994, 2.3423247",75002,Paris/Notre-Dame des Victoires/21,operational,0,station,nonexistent,2018,4,7,19,2
4575,6,6,0,0,Nanterre,nanterre-8mai1945-109,STATION,"48.8926309, 2.2063258",92000,Nanterre/8 mai 1945/109,operational,0,station,nonexistent,2018,4,1,13,37
4576,4,4,0,0,Issy-les-Moulineaux,issylesmoulineaux-verdun-135,STATION,"48.81855, 2.25291",92130,Issy-les-Moulineaux/Verdun/135,operational,0,station,nonexistent,2018,4,8,20,43
4577,5,5,0,0,Saint-Ouen,saintouen-louisblanc-35,STATION,"48.9072038, 2.3314347",93400,Saint-Ouen/Louis Blanc/35,operational,1,station,nonexistent,2018,4,2,2,49
4578,0,0,0,1,Paris,paris-malher-13,STATION,"48.85648, 2.361378",75004,Paris/Malher/13,operational,2,station,nonexistent,2018,4,4,1,28
4579,0,0,0,0,Paris,paris-francois1er-7,STATION,"48.8657733, 2.3084191",75008,Paris/Francois 1er/7,operational,5,station,nonexistent,2018,4,5,4,21
4580,1,1,0,0,Paris,paris-sainthonore-123,STATION,"48.87327, 2.309515",75008,Paris/Saint-HonorÃ©/123,operational,0,station,nonexistent,2018,4,9,11,26
4581,6,6,0,0,Issy-les-Moulineaux,issylesmoulineaux-iles-21,STATION,"48.8226736, 2.2498224",92130,Issy-les-Moulineaux/Ãles/21,operational,0,station,nonexistent,2018,4,8,22,53
4582,5,5,0,0,Paris,paris-crimee-82,STATION,"48.882362, 2.386574",75019,Paris/CrimÃ©e/82,operational,1,station,nonexistent,2018,4,9,23,56
4583,3,3,1,0,Suresnes,suresnes-huche-26,STATION,"48.8766119, 2.2218839",92150,Suresnes/HuchÃ©/26,operational,2,station,nonexistent,2018,4,6,13,37
4584,0,0,0,0,Paris,paris-saintecroixdelabretonnerie-37,STATION,"48.8585045, 2.3543751",75004,Paris/Sainte-Croix de la Bretonnerie/37,operational,3,station,nonexistent,2018,4,6,10,16
4585,1,1,0,0,Paris,paris-pontlouisphilippe-24,STATION,"48.8557269, 2.3562973",75004,Paris/Pont Louis-Philippe/24,operational,3,station,nonexistent,2018,4,3,23,49
4586,3,3,0,0,Paris,paris-bellechasse-5,STATION,"48.8598769, 2.3245048",75007,Paris/Bellechasse/5,operational,1,station,nonexistent,2018,4,3,19,11
4587,4,4,0,0,Romainville,romainville-pierrekerautret-40,SPACE,"48.8826947, 2.4435891",93230,Romainville/Pierre Kerautret/40,operational,0,full_station,operational,2018,4,4,21,32
4588,0,0,0,0,Paris,paris-etoilefoch-parking,PARKING,"48.87366, 2.29201",75016,Paris/Etoile Foch/Parking,broken,0,station,nonexistent,2018,4,7,21,6
4589,1,1,0,0,Paris,paris-gambetta-19,STATION,"48.8637, 2.390714",75020,Paris/Gambetta/19,operational,4,station,nonexistent,2018,4,9,8,40
